fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,title_fight
Arman Tsarukyan,Dan Hooker,"November 22, 2025","Doha, Qatar",Marc Goddard,0,0,42,10,2,0,1,2,win,Arman Tsarukyan,Lightweight,SUB Arm Triangle,2,3:34,False
Ian Machado Garry,Belal Muhammad,"November 22, 2025","Doha, Qatar",Rich Mitchell,0,0,72,56,0,0,0,0,win,Ian Machado Garry,Welterweight,U-DEC,3,5:00,False
Volkan Oezdemir,Alonzo Menifield,"November 22, 2025","Doha, Qatar",Marc Goddard,1,0,13,2,0,0,0,0,win,Volkan Oezdemir,Light Heavyweight,KO/TKO Punches,1,1:27,False
Myktybek Orolbai,Jack Hermansson,"November 22, 2025","Doha, Qatar",Daniel Movahedi,1,0,15,19,0,0,0,0,win,Myktybek Orolbai,Welterweight,KO/TKO Punch,1,2:46,False
Waldo Cortes Acosta,Shamil Gaziev,"November 22, 2025","Doha, Qatar",Lukasz Bosacki,2,0,10,6,0,0,0,0,win,Waldo Cortes Acosta,Heavyweight,KO/TKO Punch,1,1:22,False
Kyoji Horiguchi,Tagir Ulanbekov,"November 22, 2025","Doha, Qatar",Rich Mitchell,2,0,49,6,0,1,1,1,win,Kyoji Horiguchi,Flyweight,SUB Rear Naked Choke,3,2:18,False
Luke Riley,Bogdan Grad,"November 22, 2025","Doha, Qatar",Marc Goddard,1,0,14,7,0,4,0,0,win,Luke Riley,Featherweight,KO/TKO Punches,2,0:30,False
Nicolas Dalby,Saygid Izagakhmaev,"November 22, 2025","Doha, Qatar",Lukasz Bosacki,0,0,26,20,0,4,0,0,win,Nicolas Dalby,Welterweight,S-DEC,3,5:00,False
Asu Almabayev,Alex Perez,"November 22, 2025","Doha, Qatar",Daniel Movahedi,0,0,36,40,2,3,1,0,win,Asu Almabayev,Flyweight,SUB Guillotine Choke,3,0:22,False
Abdul Rakhman Yakhyaev,Rafael Cerqueira,"November 22, 2025","Doha, Qatar",Rich Mitchell,1,0,6,0,1,0,1,0,win,Abdul Rakhman Yakhyaev,Light Heavyweight,SUB Rear Naked Choke,1,0:33,False
Aleksandre Topuria,Bekzat Almakhan,"November 22, 2025","Doha, Qatar",Marc Goddard,0,0,47,39,2,0,0,0,win,Aleksandre Topuria,Bantamweight,U-DEC,3,5:00,False
Ismail Naurdiev,Ryan Loder,"November 22, 2025","Doha, Qatar",Daniel Movahedi,1,0,3,1,0,0,0,0,win,Ismail Naurdiev,Middleweight,KO/TKO Punch,1,1:26,False
Nurullo Aliev,Shem Rock,"November 22, 2025","Doha, Qatar",Lukasz Bosacki,0,0,51,44,1,1,1,0,win,Nurullo Aliev,Lightweight,U-DEC,3,5:00,False
Denzel Freeman,Marek Bujlo,"November 22, 2025","Doha, Qatar",Rich Mitchell,0,0,49,31,0,0,0,0,win,Denzel Freeman,Heavyweight,U-DEC,3,5:00,False
Islam Makhachev,Jack Della Maddalena,"November 15, 2025","New York City, New York, USA",Herb Dean,0,0,30,18,4,0,0,0,win,Islam Makhachev,Welterweight,U-DEC,5,5:00,True
Valentina Shevchenko,Zhang Weili,"November 15, 2025","New York City, New York, USA",Marc Goddard,0,0,41,32,5,0,0,0,win,Valentina Shevchenko,Women's Flyweight,U-DEC,5,5:00,True
Michael Morales,Sean Brady,"November 15, 2025","New York City, New York, USA",Blake Grice,1,0,24,8,0,0,0,0,win,Michael Morales,Welterweight,KO/TKO Punches,1,3:27,False
Carlos Prates,Leon Edwards,"November 15, 2025","New York City, New York, USA",Keith Peterson,1,0,21,12,0,2,0,0,win,Carlos Prates,Welterweight,KO/TKO Punch,2,1:28,False
Benoit Saint Denis,Beneil Dariush,"November 15, 2025","New York City, New York, USA",Herb Dean,1,0,3,3,0,0,0,0,win,Benoit Saint Denis,Lightweight,KO/TKO Punch,1,0:16,False
Bo Nickal,Rodolfo Vieira,"November 15, 2025","New York City, New York, USA",Dan Miragliotta,1,0,77,24,2,0,1,0,win,Bo Nickal,Middleweight,KO/TKO Kick,3,2:24,False
Gregory Rodrigues,Roman Kopylov,"November 15, 2025","New York City, New York, USA",Marc Goddard,0,0,90,52,0,2,1,0,win,Gregory Rodrigues,Middleweight,U-DEC,3,5:00,False
Erin Blanchfield,Tracy Cortez,"November 15, 2025","New York City, New York, USA",Blake Grice,0,0,52,46,2,1,1,0,win,Erin Blanchfield,Women's Flyweight,SUB Rear Naked Choke,2,4:44,False
